Original,Final
Abate I.,Abate I.
Abbiati C.,Abbiati C.
Acatullo M.,Acatullo M.
Acerbi F.,Acerbi F.
Acosty B.,Acosty B.
Acquafresca R.,Acquafresca R.
Acquah A.,Acquah A.
Adjapong C.,Adjapong C.
Adnan A.,Adnan A.
Adriano L.,Adriano L.
Agliardi F.,Agliardi F.
Agostini A.,Agostini A.
Aguirre R.,Aguirre R.
Ajeti A.,Ajeti A.
Alastra F.,Alastra F.
Albertazzi M.,Albertazzi M.
Alberto L.,Luis Alberto
Albiol R.,Albiol R.
Aldegani G.,Aldegani G.
Aleesami H.,Aleesami H.
Alex ,Alex C.
Alex C.,Alex C.
Alex Sandro ,Alex Sandro 
Allan M.,Allan M.
Alonso M.,Alonso M.
Alvarez R.,Alvarez R.
Alves B.,Alves B.
Alves D.,Alves D.
Amauri C.,Amauri C.
Amauri D.,Amauri D.
Andelkovic S.,Andelkovic S.
Anderson F.,Anderson F.
Andreolli M.,Andreolli M.
Andujar M.,Andujar M.
Angella G.,Angella G.
Anibal S.,Anibal S.
Ansaldi C.,Ansaldi C.
Antei L.,Antei L.
Antonelli L.,Antonelli L.
Antonini L.,Antonini L.
Aquilani A.,Aquilani A.
Aramu M.,Aramu M.
Ariaudo L.,Ariaudo L.
Armero P.,Armero P.
Asamoah K.,Asamoah K.
Astori D.,Astori D.
Audero E.,Audero E.
Avelar D.,Avelar D.
Avramov V.,Avramov V.
Babacar K.,Babacar K.
Bacca C.,Bacca C.
Badelj M.,Badelj M.
Badu E.,Badu E.
Bagadur R.,Bagadur R.
Bahebeck J.,Bahebeck J.
Balic A.,Balic A.
Balogh N.,Balogh N.
Balotelli M.,Balotelli M.
Balzano A.,Balzano A.
Balzaretti F.,Balzaretti F.
Bamba S.,Bamba S.
Banega E.,Banega E.
Barak A.,Barak A.
Barba F.,Barba F.
Barberis A.,Barberis A.
Bardi F.,Bardi F.
Barella N.,Barella N.
Barreca A.,Barreca A.
Barreto E.,Barreto E.
Barreto P.,Barreto P.
Barzagli A.,Barzagli A.
Basanta J.,Basanta J.
Baselli D.,Baselli D.
Basha M.,Basha M.
Bassi D.,Bassi D.
Basta D.,Basta D.
Bastien S.,Bastien S.
Bastoni A.,Bastoni A.
Bastos ,Bastos 
Beghetto A.,Beghetto A.
Belec V.,Belec V.
Belfodil I.,Belfodil I.
Bellini G.,Bellini G.
Bellomo N.,Bellomo N.
Bellusci G.,Bellusci G.
Belmonte N.,Belmonte N.
Belotti A.,Belotti A.
Benali A.,Benali A.
Benalouane Y.,Benalouane Y.
Benassi M.,Benassi M.
Benatia M.,Benatia M.
Benedetti S.,Benedetti S.
Bentivegna A.,Bentivegna A.
Benussi F.,Benussi F.
Berardi D.,Berardi D.
Bereszynski B.,Bereszynski B.
Bergdich Z.,Bergdich Z.
Bergessio G.,Bergessio G.
Berisha E.,Berisha E.
Bernardeschi F.,Bernardeschi F.
Bertolacci A.,Bertolacci A.
Bertoncini D.,Bertoncini D.
Biabiany J.,Biabiany J.
Bianchetti M.,Bianchetti M.
Bianchi R.,Bianchi R.
Bianco P.,Bianco P.
Bianco R.,Bianco R.
Biava G.,Biava G.
Bidaoui S.,Bidaoui S.
Biglia L.,Biglia L.
Biondini D.,Biondini D.
Biraghi C.,Biraghi C.
Biraschi D.,Biraschi D.
Birsa V.,Birsa V.
Bisevac M.,Bisevac M.
Bittante L.,Bittante L.
Bizzarri A.,Bizzarri A.
Blanchard L.,Blanchard L.
Blaszczykowski J.,Blaszczykowski J.
Boakye R.,Boakye R.
Boateng K.,Boateng K.
Bocchetti S.,Bocchetti S.
Bolzoni F.,Bolzoni F.
Bonaventura G.,Bonaventura G.
Bonazzoli F.,Bonazzoli F.
Bonera D.,Bonera D.
Bonucci L.,Bonucci L.
Borja Valero ,Borja Valero 
Borriello M.,Borriello M.
Botta R.,Botta R.
Bouy O.,Bouy O.
Bovo C.,Bovo C.
Boye L.,Boye L.
Braafheid E.,Braafheid E.
Bressan W.,Bressan W.
Brienza F.,Brienza F.
Brighi M.,Brighi M.
Brignoli A.,Brignoli A.
Brillante J.,Brillante J.
Britos M.,Britos M.
Brivio D.,Brivio D.
Brkic Z.,Brkic Z.
Broh J.,Broh J.
Brozovic M.,Brozovic M.
Brugman G.,Brugman G.
Bruno A.,Bruno A.
Bubnjic I.,Bubnjic I.
Buchel M.,Buchel M.
Budimir A.,Budimir A.
Buffon G.,Buffon G.
Burdisso N.,Burdisso N.
Cabezas B.,Cabezas B.
Cacciatore F.,Cacciatore F.
Caceres M.,Caceres M.
Caio Rangel ,Caio Rangel 
Calabria D.,Calabria D.
Caldara M.,Caldara M.
Calhanoglu H.,Calhanoglu
Callejon J.,Callejon J.
Campagnaro H.,Campagnaro H.
Campanharo G.,Campanharo G.
Camporese M.,Camporese M.
Cana L.,Cana L.
Cancelo J.,Cancelo J.
Candreva A.,Candreva A.
Cannavaro P.,Cannavaro P.
Capel D.,Capel D.
Capelli D.,Capelli D.
Capezzi L.,Capezzi L.
Caprari G.,Caprari G.
Capuano M.,Capuano M.
Carbonero C.,Carbonero C.
Carlao ,Carlao 
Carlini M.,Carlini M.
Carmona C.,Carmona C.
Carrizo J.,Carrizo J.
Cascione E.,Cascione E.
Cassani M.,Cassani M.
Cassano A.,Cassano A.
Castan L.,Castan L.
Castellazzi L.,Castellazzi L.
Castillo N.,Castillo N.
Castro L.,Castro L.
Cataldi D.,Cataldi D.
Cavanda L.,Cavanda L.
Cazzola R.,Cazzola R.
Ceccherini F.,Ceccherini F.
Ceppitelli L.,Ceppitelli L.
Cerci A.,Cerci A.
Cerri A.,Cerri A.
Cesar B.,Cesar B.
Chalobah N.,Chalobah N.
Checchin L.,Checchin L.
Cherubin N.,Cherubin N.
Chibsah R.,Chibsah R.
Chibsah Y.,Chibsah Y.
Chiellini G.,Chiellini G.
Chiesa F.,Chiesa F.
Chiriches V.,Chiriches V.
Chochev I.,Chochev I.
Christiansen A.,Christiansen A.
Christodoulopoulos L.,Christodoulopoulos L.
Ciani M.,Ciani M.
Ciciretti A.,Ciciretti A.
Cigarini L.,Cigarini L.
Ciofani D.,Ciofani D.
Ciofani M.,Ciofani M.
Cionek T.,Cionek T.
Cissokho I.,Cissokho I.
Coda A.,Coda A.
Coda M.,Coda M.
Cofie I.,Cofie I.
Cojocaru V.,Cojocaru V.
Cole A.,Cole A.
Colombi S.,Colombi S.
Colombo R.,Colombo R.
Coman K.,Coman K.
Consigli A.,Consigli A.
Constant K.,Constant K.
Conti A.,Conti A.
Conti D.,Conti D.
Cop D.,Cop D.
Coppola F.,Coppola F.
Coppola M.,Coppola M.
Cordaz A.,Cordaz A.
Correa J.,Correa J.
Cosic U.,Cosic U.
Cossu A.,Cossu A.
Costa A.,Costa A.
Costa D.,Douglas Costa
Costa F.,Costa F.
Costa T.,Costa T.
Coulibaly M.,Coulibaly M.
Cragno A.,Cragno A.
Crecco L.,Crecco L.
Crescenzi A.,Crescenzi A.
Crimi M.,Crimi M.
Crisetig L.,Crisetig L.
Cristante B.,Cristante B.
Cristoforo S.,Cristoforo S.
Crivello R.,Crivello R.
Croce D.,Croce D.
Cuadrado J.,Cuadrado J.
Cubas A.,Cubas A.
Cutrone P.,Cutrone P.
Cuomo G.,Cuomo G.
D'alessandro M.,D'alessandro M.
D'ambrosio D.,D'ambrosio D.
Da Costa A.,Da Costa A.
Dainelli D.,Dainelli D.
Dal Monte N.,Dal Monte N.
Dalessandro M.,Dalessandro M.
Dambrosio D.,Dambrosio D.
Danilo L.,Danilo L.
Daprela F.,Daprela F.
Daprela' F.,Daprela' F.
Darmian M.,Darmian M.
David Lopez S.,David Lopez S.
De Ceglie P.,De Ceglie P.
De Feudis G.,De Feudis G.
De Giorgio P.,De Giorgio P.
De Guzman J.,De Guzman J.
De Jong N.,De Jong N.
De Maio S.,De Maio S.
De Paul R.,De Paul R.
De Roon M.,De Roon M.
De Rossi D.,De Rossi D.
De Sanctis M.,De Sanctis M.
De Sciglio M.,De Sciglio M.
De Silvestri L.,De Silvestri L.
De Vrij S.,De Vrij S.
Defrel G.,Defrel G.
Deiola A.,Deiola A.
Del G.,Del G.
Del Sole F.,Del Sole F.
Della Rocca F.,Della Rocca F.
Dellorco C.,Dellorco C.
Denis G.,Denis G.
Depaoli F.,Depaoli F.
Dessena D.,Dessena D.
Destro M.,Destro M.
Deulofeu G.,Deulofeu G.
Di Francesco F.,Di Francesco F.
Di Gaudio A.,Di Gaudio A.
Di Gennaro D.,Di Gennaro D.
Di Natale A.,Di Natale A.
Di Roberto N.,Di Roberto N.
Diakhate A.,Diakhate A.
Diakite M.,Diakite M.
Diamanti A.,Diamanti A.
Diawara A.,Diawara A.
Diego Lopez R.,Diego Lopez R.
Digne L.,Digne L.
Diks K.,Diks K.
Dimarco F.,Dimarco F.
Dionisi F.,Dionisi F.
Diousse A.,Diousse A.
Djimsiti B.,Djimsiti B.
Djordjevic F.,Djordjevic F.
Djordjevic L.,Djordjevic L.
Djurdjevic U.,Djurdjevic U.
Djuric M.,Djuric M.
Djuricic F.,Djuricic F.
Dodo ,Dodo R.
Dodo R.,Dodo R.
Dodo' R.,Dodo R.
Domizzi M.,Domizzi M.
Donkor I.,Donkor I.
Donnarumma G.,Donnarumma G.
Donsah G.,Donsah G.
Dos Santos C.,Dos Santos C.
Doumbia S.,Doumbia S.
Dragowski B.,Dragowski B.
Drame B.,Drame B.
Drame' B.,Drame B.
Duncan A.,Duncan A.
Duncan J.,Duncan J.
Dussenne N.,Dussenne N.
Dybala P.,Dybala P.
Dzeko E.,Dzeko E.
Dzemaili B.,Dzemaili B.
Edenilson A.,Edenilson A.
Eder C.,Eder C.
Ederson H.,Ederson H.
Edimar ,Edimar 
Ekdal A.,Ekdal A.
El Hamdaoui M.,El Hamdaoui M.
El Kaddouri O.,El Kaddouri O.
El Kaoutari A.,El Kaoutari A.
El Shaarawy ,El Shaarawy S.
El Shaarawy S.,El Shaarawy S.
Ely R.,Ely R.
Emanuelson U.,Emanuelson U.
Embalo C.,Embalo C.
Emerson P.,Emerson P.
Eramo M.,Eramo M.
Essien M.,Essien M.
Estigarribia M.,Estigarribia M.
Eto'o S.,Etoo S.
Etoo S.,Etoo S.
Evangelista L.,Evangelista L.
Evra P.,Evra P.
Ewandro ,Ewandro 
F. Anderson ,F. Anderson 
Falcinelli D.,Falcinelli D.
Falco F.,Falco F.
Farago P.,Farago P.
Faraoni D.,Faraoni D.
Fares M.,Fares M.
Farias D.,Farias D.
Farnerud A.,Farnerud A.
Fazio F.,Fazio F.
Fazzi N.,Fazzi N.
Fedato F.,Fedato F.
Feddal Z.,Feddal Z.
Fedele M.,Fedele M.
Felipe ,Felipe 
Felipe Anderson ,Felipe Anderson P.
Felipe Anderson P.,Felipe Anderson P.
Felipe D.,Felipe D.
Fernandes B.,Fernandes B.
Fernandez M.,Fernandez M.
Fernandinho ,Fernandinho 
Fernando L.,Fernando L.
Ferrari A.,Ferrari A.
Ferrari G.,Ferrari G.
Festa M.,Festa M.
Fetfatzidis G.,Fetfatzidis G.
Fiamozzi R.,Fiamozzi R.
Figueiras D.,Figueiras D.
Fiorillo V.,Fiorillo V.
Floccari S.,Floccari S.
Florenzi A.,Florenzi A.
Floro Flores A.,Floro Flores A.
Fofana S.,Fofana S.
Fontanesi L.,Fontanesi L.
Fornasier M.,Fornasier M.
Frara A.,Frara A.
Freuler R.,Freuler R.
Frey N.,Frey N.
Frezzolini G.,Frezzolini G.
Fulignati A.,Fulignati A.
Furman D.,Furman D.
Gabbiadini M.,Gabbiadini M.
Gabriel B.,Gabriel B.
Gabriel F.,Gabriel F.
Gabriel Silva A.,Gabriel Silva A.
Gabriel V.,Gabriel V.
Gagliardini R.,Gagliardini R.
Gagliolo R.,Gagliolo R.
Gakpe S.,Gakpe S.
Galloppa D.,Galloppa D.
Gamberini A.,Gamberini A.
Gargano W.,Gargano W.
Garritano L.,Garritano L.
Gastaldello D.,Gastaldello D.
Gaston Silva ,Gaston Silva P.
Gaston Silva P.,Gaston Silva P.
Gazzi A.,Gazzi A.
Gazzola M.,Gazzola M.
Geijo A.,Geijo A.
Gentiletti S.,Gentiletti S.
Gerson S.,Gerson S.
Gervinho ,Gervinho 
Ghezzal A.,Ghezzal A.
Ghoulam F.,Ghoulam F.
Giaccherini E.,Giaccherini E.
Giannetti N.,Giannetti N.
Gilardino A.,Gilardino A.
Gilberto ,Gilberto 
Gillet J.,Gillet J.
Giorgi L.,Giorgi L.
Giovinco S.,Giovinco S.
Glik K.,Glik K.
Gnahore E.,Gnahore E.
Gnoukouri A.,Gnoukouri A.
Gobbi M.,Gobbi M.
Goldaniga E.,Goldaniga E.
Gollini P.,Gollini P.
Gomez A.,Gomez A.
Gomez G.,Gomez G.
Gomez J.,Gomez J.
Gomez M.,Gomez M.
Gomis A.,Gomis A.
Gonzalez A.,Gonzalez A.
Gonzalez G.,Gonzalez G.
Gori M.,Gori M.
Grassi A.,Grassi A.
Greco L.,Greco L.
Grenier C.,Grenier C.
Guarente T.,Guarente T.
Guarin F.,Guarin F.
Gucher R.,Gucher R.
Guilherme D.,Guilherme D.
Guilherme d.,Guilherme D.
Gustafson S.,Gustafson S.
Gyomber N.,Gyomber N.
Hagi I.,Hagi I.
Hallberg M.,Hallberg M.
Hallfredsson E.,Hallfredsson E.
Hamsik M.,Hamsik M.
Han K.,Han K.
Handanovic S.,Handanovic S.
Haraslin L.,Haraslin L.
Hart J.,Hart J.
Hateboer H.,Hateboer H.
Helander F.,Helander F.
Henrique A.,Henrique A.
Henrique B.,Henrique B.
Hernanes ,Hernanes A.
Hernanes A.,Hernanes A.
Hetemaj P.,Hetemaj P.
Heurtaux T.,Heurtaux T.
Higuain G.,Higuain G.
Hiljemark O.,Hiljemark O.
Hoedt W.,Hoedt W.
Holebas J.,Holebas J.
Honda K.,Honda K.
Hugo Almeida ,Hugo Almeida 
Husbauer J.,Husbauer J.
Hysaj E.,Hysaj E.
Iacobucci A.,Iacobucci A.
Iago F.,Iago Falque
Ibarbo V.,Ibarbo V.
Icardi M.,Icardi M.
Ichazo S.,Ichazo S.
Iemmello P.,Iemmello P.
Ierardi M.,Ierardi M.
Ilicic J.,Ilicic J.
Immobile C.,Immobile C.
Inglese R.,Inglese R.
Inler G.,Inler G.
Insigne L.,Insigne L.
Ionita A.,Ionita A.
Isla M.,Isla M.
Iturbe J.,Iturbe J.
Iturra M.,Iturra M.
Ivan D.,Ivan D.
Izco M.,Izco M.
Izzo A.,Izzo A.
Jajalo M.,Jajalo M.
Jakupovic A.,Jakupovic A.
Jallow L.,Jallow L.
Jankovic B.,Jankovic B.
Jankto J.,Jankto J.
Jansson P.,Jansson P.
Jesus J.,Jesus J.
