CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
GOLLINI,P,Por,14,14,//www.fantacalcio.it/squadre/Atalanta/GOLLINI/610,2019,Atalanta,Gollini Pierluigi,Italia,18/03/1995,188,80
SPORTIELLO,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/SPORTIELLO/4,2019,Atalanta,Sportiello Marco,Italia,10/05/1992,192,87
ROSSI F,P,Por,1,1,//www.fantacalcio.it/squadre/Atalanta/ROSSI-F/2297,2019,Atalanta,Rossi Francesco,Italia,27/04/1991,193,
DJIMSITI,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/DJIMSITI/787,2019,Atalanta,Djimsiti Berat,"Albania, Svizzera",16/02/1993,190,83
MASIELLO A,D,,7,7,//www.fantacalcio.it/squadre/Atalanta/MASIELLO-A/15,2019,Atalanta,Masiello Andrea,Italia,05/02/1986,185,82
TOLOI,D,Dc,10,10,//www.fantacalcio.it/squadre/Atalanta/TOLOI/695,2019,Atalanta,Toloi Rafael,"Brasile, Italia",10/10/1990,185,75
SKRTEL,D,Dc,8,8,//www.fantacalcio.it/squadre/Atalanta/SKRTEL/4516,2019,Atalanta,Skrtel Martin,Slovacchia,15/12/1984,191,
CASTAGNE,D,E,14,14,//www.fantacalcio.it/squadre/Atalanta/CASTAGNE/2197,2019,Atalanta,Castagne Timothy,Belgio,05/12/1995,185,
IBANEZ,D,Dc,2,2,//www.fantacalcio.it/squadre/Atalanta/IBANEZ/4331,2019,Atalanta,Ibanez Roger,"Brasile, Uruguay",23/11/1998,185,
RECA,D,,4,4,//www.fantacalcio.it/squadre/Atalanta/RECA/2739,2019,Atalanta,Reca Arkadiusz,Polonia,17/06/1995,187,
HATEBOER,D,E,16,16,//www.fantacalcio.it/squadre/Atalanta/HATEBOER/2130,2019,Atalanta,Hateboer Hans,Olanda,09/01/1994,187,72
PALOMINO,D,Dc,9,9,//www.fantacalcio.it/squadre/Atalanta/PALOMINO/2181,2019,Atalanta,Palomino Josè Luis,Argentina,05/01/1990,187,
GOSENS,D,E,15,15,//www.fantacalcio.it/squadre/Atalanta/GOSENS/2160,2019,Atalanta,Gosens Robin,"Germania, Olanda",05/07/1994,184,
OKOLI,D,Dc,1,1,//www.fantacalcio.it/squadre/Atalanta/OKOLI/4432,2019,Atalanta,Okoli Caleb,Nigeria,13/07/2001,189,
VARNIER,D,Dc,3,3,//www.fantacalcio.it/squadre/Atalanta/VARNIER/2740,2019,Atalanta,Varnier Marco,Italia,08/06/1998,186,
FREULER,C,C,13,13,//www.fantacalcio.it/squadre/Atalanta/FREULER/788,2019,Atalanta,Freuler Remo,Svizzera,15/04/1992,181,77
PESSINA,C,C,3,3,//www.fantacalcio.it/squadre/Atalanta/PESSINA/2741,2019,Atalanta,Pessina Matteo,Italia,21/04/1997,183,
DE ROON,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/DE-ROON/22,2019,Atalanta,De Roon Marten,Olanda,29/03/1991,185,
PASALIC,C,,9,9,//www.fantacalcio.it/squadre/Atalanta/PASALIC/2077,2019,Atalanta,Pasalic Mario,Croazia,09/02/1995,189,82
COLLEY E,C,,1,1,//www.fantacalcio.it/squadre/Atalanta/COLLEY-E/4435,2019,Atalanta,Colley Ebrima,Gambia,01/02/2000,175,
MALINOVSKYI,C,,11,11,//www.fantacalcio.it/squadre/Atalanta/MALINOVSKYI/4427,2019,Atalanta,Malinovskyi Ruslan,Ucraina,04/05/1993,181,
GOMEZ A,C,,26,26,//www.fantacalcio.it/squadre/Atalanta/GOMEZ-A/26,2019,Atalanta,Gomez Alejandro,Argentina,15/02/1988,165,68
VALZANIA,C,C,5,5,//www.fantacalcio.it/squadre/Atalanta/VALZANIA/2742,2019,Atalanta,Valzania Luca,Italia,05/03/1996,184,
ILICIC,A,A,25,25,//www.fantacalcio.it/squadre/Atalanta/ILICIC/177,2019,Atalanta,Ilicic Josip,Slovenia,29/01/1988,190,79
CAMBIAGHI,A,A,1,1,//www.fantacalcio.it/squadre/Atalanta/CAMBIAGHI/4436,2019,Atalanta,Cambiaghi Nicolò,Italia,28/12/2000,173,
ZAPATA D,A,Pc,36,36,//www.fantacalcio.it/squadre/Atalanta/ZAPATA-D/608,2019,Atalanta,Zapata Duvan,Colombia,01/04/1991,189,
BARROW,A,Pc,9,9,//www.fantacalcio.it/squadre/Atalanta/BARROW/2719,2019,Atalanta,Barrow Musa,Gambia,14/11/1998,180,
PICCOLI,A,Pc,1,1,//www.fantacalcio.it/squadre/Atalanta/PICCOLI/4359,2019,Atalanta,Piccoli Roberto,Italia,27/01/2001,183,
MURIEL,A,Pc,17,17,//www.fantacalcio.it/squadre/Atalanta/MURIEL/507,2019,Atalanta,Muriel Luis,Colombia,16/04/1991,179,79
DA COSTA,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/DA-COSTA/40,2019,Bologna,Da Costa Angelo,Brasile,12/11/1983,186,81
SKORUPSKI,P,Por,9,9,//www.fantacalcio.it/squadre/Bologna/SKORUPSKI/133,2019,Bologna,Skorupski Lukasz,Polonia,05/05/1991,187,
SARR M,P,Por,1,1,//www.fantacalcio.it/squadre/Bologna/SARR-M/42,2019,Bologna,Sarr Mouhamadou,"Senegal, Italia",05/01/1997,190,78
CALABRESI,D,,4,4,//www.fantacalcio.it/squadre/Bologna/CALABRESI/2745,2019,Bologna,Calabresi Arturo,Italia,17/03/1996,186,
DIJKS,D,,8,8,//www.fantacalcio.it/squadre/Bologna/DIJKS/2746,2019,Bologna,Dijks Mitchell,Olanda,09/02/1993,194,
BANI,D,Dc,5,5,//www.fantacalcio.it/squadre/Bologna/BANI/2285,2019,Bologna,Bani Mattia,Italia,10/12/1993,188,
DENSWIL,D,,7,7,//www.fantacalcio.it/squadre/Bologna/DENSWIL/4414,2019,Bologna,Denswil Stefano,"Olanda, Suriname",07/05/1993,188,
TOMIYASU,D,,4,4,//www.fantacalcio.it/squadre/Bologna/TOMIYASU/4422,2019,Bologna,Tomiyasu Takehiro,Giappone,05/11/1998,188,
DANILO LAR,D,Dc,8,8,//www.fantacalcio.it/squadre/Bologna/DANILO-LAR/578,2019,Bologna,Danilo Larangeira,"Brasile, Italia",10/05/1984,185,75
PAZ,D,,1,1,//www.fantacalcio.it/squadre/Bologna/PAZ/2747,2019,Bologna,Paz Nehuen,Argentina,28/04/1993,191,
CORBO,D,Dc,1,1,//www.fantacalcio.it/squadre/Bologna/CORBO/4365,2019,Bologna,Corbo Gabriele,Italia,11/01/2000,186,
MBAYE,D,,5,5,//www.fantacalcio.it/squadre/Bologna/MBAYE/50,2019,Bologna,Mbaye Ibrahima,Senegal,19/11/1994,188,70
DZEMAILI,C,,8,8,//www.fantacalcio.it/squadre/Bologna/DZEMAILI/713,2019,Bologna,Dzemaili Blerim,"Svizzera, Macedonia",12/04/1986,179,
POLI,C,,9,9,//www.fantacalcio.it/squadre/Bologna/POLI/374,2019,Bologna,Poli Andrea,Italia,29/09/1989,182,77
KREJCI,C,E,3,3,//www.fantacalcio.it/squadre/Bologna/KREJCI/1858,2019,Bologna,Krejci Ladislav,Cechia,05/07/1992,180,68
SVANBERG,C,C,3,3,//www.fantacalcio.it/squadre/Bologna/SVANBERG/2744,2019,Bologna,Svanberg Mattias,Svezia,05/01/1999,185,
KINGSLEY,C,,2,2,//www.fantacalcio.it/squadre/Bologna/KINGSLEY/2835,2019,Bologna,Kingsley Michael,Nigeria,26/08/1999,176,
SORIANO,C,T,14,14,//www.fantacalcio.it/squadre/Bologna/SORIANO/2625,2019,Bologna,Soriano Roberto,"Italia, Germania",08/02/1991,182,
FALLETTI,C,T,1,1,//www.fantacalcio.it/squadre/Bologna/FALLETTI/2210,2019,Bologna,Falletti Cesar,"Uruguay, Italia",02/12/1992,170,
SCHOUTEN,C,,4,4,//www.fantacalcio.it/squadre/Bologna/SCHOUTEN/4393,2019,Bologna,Schouten Jardy,Olanda,12/01/1997,185,
CANGIANO,A,A,1,1,//www.fantacalcio.it/squadre/Bologna/CANGIANO/4483,2019,Bologna,Cangiano Gianmarco,Italia,16/11/2001,170,
DESTRO,A,Pc,19,19,//www.fantacalcio.it/squadre/Bologna/DESTRO/472,2019,Bologna,Destro Mattia,Italia,20/03/1991,181,72
PALACIO,A,A,13,13,//www.fantacalcio.it/squadre/Bologna/PALACIO/280,2019,Bologna,Palacio Rodrigo,"Argentina, Spagna",05/02/1982,175,
ORSOLINI,A,,17,17,//www.fantacalcio.it/squadre/Bologna/ORSOLINI/2167,2019,Bologna,Orsolini Riccardo,Italia,24/01/1997,183,
SKOV OLSEN,A,A,8,8,//www.fantacalcio.it/squadre/Bologna/SKOV-OLSEN/4415,2019,Bologna,Skov Olsen Andreas,Danimarca,29/12/1999,187,
JUWARA,A,A,1,1,//www.fantacalcio.it/squadre/Bologna/JUWARA/4368,2019,Bologna,Juwara Musa,Gambia,26/12/2001,170,
SANTANDER,A,Pc,12,12,//www.fantacalcio.it/squadre/Bologna/SANTANDER/2743,2019,Bologna,Santander Federico,Paraguay,04/06/1991,187,
FALCINELLI,A,Pc,6,6,//www.fantacalcio.it/squadre/Bologna/FALCINELLI/532,2019,Bologna,Falcinelli Diego,Italia,26/06/1991,186,80
SANSONE N,A,A,12,12,//www.fantacalcio.it/squadre/Bologna/SANSONE-N/537,2019,Bologna,Sansone Nicola,Italia,10/09/1991,172,63
ALFONSO,P,Por,1,1,//www.fantacalcio.it/squadre/Brescia/ALFONSO/4440,2019,Brescia,Alfonso Enrico,Italia,04/05/1988,191,
JORONEN,P,Por,6,6,//www.fantacalcio.it/squadre/Brescia/JORONEN/4425,2019,Brescia,Joronen Jesse,Finlandia,21/03/1993,197,
ANDRENACCI,P,Por,1,1,//www.fantacalcio.it/squadre/Brescia/ANDRENACCI/4441,2019,Brescia,Andrenacci Lorenzo,Italia,02/01/1995,185,
CISTANA,D,,7,7,//www.fantacalcio.it/squadre/Brescia/CISTANA/4442,2019,Brescia,Cistana Andrea,Italia,01/04/1997,187,
MARTELLA,D,,6,6,//www.fantacalcio.it/squadre/Brescia/MARTELLA/1896,2019,Brescia,Martella Bruno,Italia,14/08/1992,184,78
CHANCELLOR,D,Dc,5,5,//www.fantacalcio.it/squadre/Brescia/CHANCELLOR/4429,2019,Brescia,Chancellor Jhon,Venezuela,02/01/1992,197,
MANGRAVITI,D,Dc,1,1,//www.fantacalcio.it/squadre/Brescia/MANGRAVITI/4504,2019,Brescia,Mangraviti Massimiliano,Italia,24/01/1998,188,
SEMPRINI,D,,2,2,//www.fantacalcio.it/squadre/Brescia/SEMPRINI/4444,2019,Brescia,Semprini Alessandro,Italia,24/02/1998,182,
MAGNANI,D,Dc,6,6,//www.fantacalcio.it/squadre/Brescia/MAGNANI/2769,2019,Brescia,Magnani Giangiacomo,Italia,04/10/1995,190,
GASTALDELLO,D,Dc,3,3,//www.fantacalcio.it/squadre/Brescia/GASTALDELLO/47,2019,Brescia,Gastaldello Daniele,Italia,25/06/1983,185,77
SABELLI,D,,6,6,//www.fantacalcio.it/squadre/Brescia/SABELLI/791,2019,Brescia,Sabelli Stefano,Italia,13/01/1993,180,74
CURCIO,D,,2,2,//www.fantacalcio.it/squadre/Brescia/CURCIO/4443,2019,Brescia,Curcio Felipe,"Brasile, Italia",06/08/1993,183,
MATEJU,D,,5,5,//www.fantacalcio.it/squadre/Brescia/MATEJU/4373,2019,Brescia,Mateju Ales,Repubblica Ceca,03/06/1996,185,
BISOLI,C,,9,9,//www.fantacalcio.it/squadre/Brescia/BISOLI/4445,2019,Brescia,Bisoli Dimitri,Italia,25/03/1994,180,
SPALEK,C,T,8,8,//www.fantacalcio.it/squadre/Brescia/SPALEK/4448,2019,Brescia,Spalek Nikolas,Slovacchia,12/02/1997,170,
ZMRHAL,C,,7,7,//www.fantacalcio.it/squadre/Brescia/ZMRHAL/4513,2019,Brescia,Zmrhal Jaromir,Repubblica Ceca,02/08/1993,189,
NDOJ,C,C,7,7,//www.fantacalcio.it/squadre/Brescia/NDOJ/4447,2019,Brescia,Ndoj Emanuele,"Albania, Italia",20/11/1996,189,
VIVIANI M,C,,1,1,//www.fantacalcio.it/squadre/Brescia/VIVIANI-M/4451,2019,Brescia,Viviani Matteo,Italia,04/09/2000,183,
MOROSINI,C,,8,8,//www.fantacalcio.it/squadre/Brescia/MOROSINI/2106,2019,Brescia,Morosini Leonardo,Italia,13/10/1995,175,70
TREMOLADA,C,T,1,1,//www.fantacalcio.it/squadre/Brescia/TREMOLADA/4450,2019,Brescia,Tremolada Luca,Italia,25/11/1991,176,
DESSENA,C,,4,4,//www.fantacalcio.it/squadre/Brescia/DESSENA/1872,2019,Brescia,Dessena Daniele,Italia,10/05/1987,183,75
TONALI,C,,6,6,//www.fantacalcio.it/squadre/Brescia/TONALI/4449,2019,Brescia,Tonali Sandro,Italia,08/05/2000,181,
AYE',A,Pc,7,7,//www.fantacalcio.it/squadre/Brescia/AYE/4413,2019,Brescia,Ayè Florian,Francia,19/01/1997,184,
TORREGROSSA,A,Pc,13,13,//www.fantacalcio.it/squadre/Brescia/TORREGROSSA/4453,2019,Brescia,Torregrossa Ernesto,Italia,28/06/1992,184,
DONNARUMMA AL,A,Pc,16,16,//www.fantacalcio.it/squadre/Brescia/DONNARUMMA-AL/4452,2019,Brescia,Donnarumma Alfredo,Italia,30/11/1990,180,
BALOTELLI,A,Pc,19,19,//www.fantacalcio.it/squadre/Brescia/BALOTELLI/696,2019,Brescia,Balotelli Mario,"Italia, Ghana",12/08/1990,189,
ARESTI,P,Por,1,1,//www.fantacalcio.it/squadre/Cagliari/ARESTI/1946,2019,Cagliari,Aresti Simone,Italia,15/03/1986,187,72
RAFAEL,P,Por,1,1,//www.fantacalcio.it/squadre/Cagliari/RAFAEL/611,2019,Cagliari,Rafael,"Brasile, Italia",03/03/1982,187,80
CRAGNO,P,Por,11,11,//www.fantacalcio.it/squadre/Cagliari/CRAGNO/2178,2019,Cagliari,Cragno Alessio,Italia,28/06/1994,184,
CEPPITELLI,D,Dc,7,7,//www.fantacalcio.it/squadre/Cagliari/CEPPITELLI/1866,2019,Cagliari,Ceppitelli Luca,Italia,11/08/1989,189,83
PINNA,D,,1,1,//www.fantacalcio.it/squadre/Cagliari/PINNA/4454,2019,Cagliari,Pinna Simone,Italia,17/10/1997,172,
CACCIATORE,D,,7,7,//www.fantacalcio.it/squadre/Cagliari/CACCIATORE/99,2019,Cagliari,Cacciatore Fabrizio,Italia,08/10/1986,182,81
MATTIELLO,D,,5,5,//www.fantacalcio.it/squadre/Cagliari/MATTIELLO/106,2019,Cagliari,Mattiello Federico,Italia,14/07/1995,182,75
WALUKIEWICZ,D,Dc,3,3,//www.fantacalcio.it/squadre/Cagliari/WALUKIEWICZ/4374,2019,Cagliari,Walukiewicz Sebastian,Polonia,05/04/2000,188,
LYKOGIANNIS,D,,4,4,//www.fantacalcio.it/squadre/Cagliari/LYKOGIANNIS/2653,2019,Cagliari,Lykogiannis Charalampos,Grecia,22/10/1993,186,
ROMAGNA,D,Dc,5,5,//www.fantacalcio.it/squadre/Cagliari/ROMAGNA/2279,2019,Cagliari,Romagna Filippo,Italia,26/05/1997,185,
PELLEGRINI LU,D,,6,6,//www.fantacalcio.it/squadre/Cagliari/PELLEGRINI-LU/2728,2019,Cagliari,Pellegrini Luca,Italia,07/03/1999,178,
KLAVAN,D,Dc,6,6,//www.fantacalcio.it/squadre/Cagliari/KLAVAN/2871,2019,Cagliari,Klavan Ragnar,Estonia,30/10/1985,187,
PISACANE,D,,4,4,//www.fantacalcio.it/squadre/Cagliari/PISACANE/1869,2019,Cagliari,Pisacane Fabio,Italia,28/01/1986,178,77
OLIVA,C,M,3,3,//www.fantacalcio.it/squadre/Cagliari/OLIVA/4327,2019,Cagliari,Oliva Christian,Uruguay,01/06/1996,178,
NAINGGOLAN,C,,16,16,//www.fantacalcio.it/squadre/Cagliari/NAINGGOLAN/467,2019,Cagliari,Nainggolan Radja,"Belgio, Indonesia",04/05/1988,175,
BIRSA,C,T,7,7,//www.fantacalcio.it/squadre/Cagliari/BIRSA/111,2019,Cagliari,Birsa Valter,Slovenia,07/08/1986,184,81
COLOMBATTO,C,,1,1,//www.fantacalcio.it/squadre/Cagliari/COLOMBATTO/2828,2019,Cagliari,Colombatto Santiago,"Argentina, Italia",17/01/1997,179,
IONITA,C,,8,8,//www.fantacalcio.it/squadre/Cagliari/IONITA/627,2019,Cagliari,Ionita Artur,"Moldavia, Romania",17/08/1990,184,73
CIGARINI,C,,6,6,//www.fantacalcio.it/squadre/Cagliari/CIGARINI/20,2019,Cagliari,Cigarini Luca,Italia,20/06/1986,175,72
NANDEZ,C,,10,10,//www.fantacalcio.it/squadre/Cagliari/NANDEZ/4514,2019,Cagliari,Nandez Nahitan,"Uruguay, Italia",28/12/1995,172,
CASTRO,C,,13,13,//www.fantacalcio.it/squadre/Cagliari/CASTRO/112,2019,Cagliari,Castro Lucas,Argentina,09/04/1989,182,78
FARAGO',C,,4,4,//www.fantacalcio.it/squadre/Cagliari/FARAGO/2116,2019,Cagliari,Faragò Paolo,Italia,12/02/1993,187,80
ROG,C,C,10,10,//www.fantacalcio.it/squadre/Cagliari/ROG/2076,2019,Cagliari,Rog Marko,Croazia,19/07/1995,180,73
BRADARIC,C,,4,4,//www.fantacalcio.it/squadre/Cagliari/BRADARIC/2854,2019,Cagliari,Bradaric Filip,Croazia,11/01/1992,186,
DEIOLA,C,C,2,2,//www.fantacalcio.it/squadre/Cagliari/DEIOLA/1871,2019,Cagliari,Deiola Alessandro,Italia,01/08/1995,189,85
HAN,A,Pc,4,4,//www.fantacalcio.it/squadre/Cagliari/HAN/2146,2019,Cagliari,Han Kwang-Son,Corea del Nord,11/09/1998,178,
DESPODOV,A,A,3,3,//www.fantacalcio.it/squadre/Cagliari/DESPODOV/4333,2019,Cagliari,Despodov Kiril,Bulgaria,11/11/1996,179,
RAGATZU,A,A,2,2,//www.fantacalcio.it/squadre/Cagliari/RAGATZU/4455,2019,Cagliari,Ragatzu Daniele,Italia,21/09/1991,172,
CERRI,A,Pc,5,5,//www.fantacalcio.it/squadre/Cagliari/CERRI/306,2019,Cagliari,Cerri Alberto,Italia,16/04/1996,194,91
PAVOLETTI,A,Pc,26,26,//www.fantacalcio.it/squadre/Cagliari/PAVOLETTI/247,2019,Cagliari,Pavoletti Leonardo,Italia,26/11/1988,188,78
JOAO PEDRO,A,A,16,16,//www.fantacalcio.it/squadre/Cagliari/JOAO-PEDRO/1874,2019,Cagliari,Joao Pedro,Brasile,09/03/1992,184,73
TERRACCIANO,P,Por,1,1,//www.fantacalcio.it/squadre/Fiorentina/TERRACCIANO/2815,2019,Fiorentina,Terracciano Pietro,Italia,08/03/1990,193,
DRAGOWSKI,P,Por,11,11,//www.fantacalcio.it/squadre/Fiorentina/DRAGOWSKI/1917,2019,Fiorentina,Dragowski Bartlomiej,Polonia,19/08/1997,188,74
CEROFOLINI,P,Por,1,1,//www.fantacalcio.it/squadre/Fiorentina/CEROFOLINI/2294,2019,Fiorentina,Cerofolini Michele,Italia,04/01/1999,188,
BRANCOLINI,P,Por,1,1,//www.fantacalcio.it/squadre/Fiorentina/BRANCOLINI/4351,2019,Fiorentina,Brancolini Federico,Italia,14/07/2001,187,
PEZZELLA GER,D,Dc,10,10,//www.fantacalcio.it/squadre/Fiorentina/PEZZELLA-GER/2309,2019,Fiorentina,Pezzella German,Argentina,27/06/1991,187,
VENUTI,D,,4,4,//www.fantacalcio.it/squadre/Fiorentina/VENUTI/2174,2019,Fiorentina,Venuti Lorenzo,Italia,12/04/1995,176,
MILENKOVIC,D,,9,9,//www.fantacalcio.it/squadre/Fiorentina/MILENKOVIC/2164,2019,Fiorentina,Milenkovic Nikola,Serbia,12/10/1997,195,
TERZIC,D,,1,1,//www.fantacalcio.it/squadre/Fiorentina/TERZIC/4375,2019,Fiorentina,Terzic Aleksa,Serbia,17/08/1999,184,
LIROLA,D,,11,11,//www.fantacalcio.it/squadre/Fiorentina/LIROLA/2006,2019,Fiorentina,Lirola Pol,Spagna,13/08/1997,183,78
CECCHERINI,D,,5,5,//www.fantacalcio.it/squadre/Fiorentina/CECCHERINI/1891,2019,Fiorentina,Ceccherini Federico,Italia,11/05/1992,186,72
RASMUSSEN,D,Dc,2,2,//www.fantacalcio.it/squadre/Fiorentina/RASMUSSEN/2752,2019,Fiorentina,Rasmussen Jacob,Danimarca,28/05/1997,190,
BIRAGHI,D,,10,10,//www.fantacalcio.it/squadre/Fiorentina/BIRAGHI/252,2019,Fiorentina,Biraghi Cristiano,Italia,12/09/1992,184,
RANIERI L,D,,1,1,//www.fantacalcio.it/squadre/Fiorentina/RANIERI-L/4378,2019,Fiorentina,Ranieri Luca,Italia,23/04/1999,179,
ZURKOWSKI,C,C,6,6,//www.fantacalcio.it/squadre/Fiorentina/ZURKOWSKI/4376,2019,Fiorentina,Zurkowski Szymon,Polonia,25/09/1997,185,
RIBERY,C,,19,19,//www.fantacalcio.it/squadre/Fiorentina/RIBERY/2409,2019,Fiorentina,Ribery Frank,Francia,07/04/1983,170,
PULGAR,C,,12,12,//www.fantacalcio.it/squadre/Fiorentina/PULGAR/644,2019,Fiorentina,Pulgar Erick,Cile,15/01/1994,186,70
CRISTOFORO,C,,3,3,//www.fantacalcio.it/squadre/Fiorentina/CRISTOFORO/2075,2019,Fiorentina,Cristoforo Sebastian,"Uruguay, Italia",23/08/1993,175,68
MONTIEL,C,,1,1,//www.fantacalcio.it/squadre/Fiorentina/MONTIEL/4353,2019,Fiorentina,Montiel Tofol,Spagna,11/04/2000,178,
CHIESA,C,,26,26,//www.fantacalcio.it/squadre/Fiorentina/CHIESA/2002,2019,Fiorentina,Chiesa Federico,Italia,25/10/1997,175,
CASTROVILLI,C,,7,7,//www.fantacalcio.it/squadre/Fiorentina/CASTROVILLI/4377,2019,Fiorentina,Castrovilli Gaetano,Italia,17/02/1997,179,
EYSSERIC,C,,4,4,//www.fantacalcio.it/squadre/Fiorentina/EYSSERIC/2290,2019,Fiorentina,Eysseric Valentin,Francia,25/03/1992,181,
BADELJ,C,,6,6,//www.fantacalcio.it/squadre/Fiorentina/BADELJ/170,2019,Fiorentina,Badelj Milan,Croazia,25/02/1989,186,
BENASSI,C,C,15,15,//www.fantacalcio.it/squadre/Fiorentina/BENASSI/557,2019,Fiorentina,Benassi Marco,Italia,08/09/1994,183,80
DABO,C,,3,3,//www.fantacalcio.it/squadre/Fiorentina/DABO/2659,2019,Fiorentina,Dabo Bryan,"Francia, Mali",18/02/1992,187,
