CALCIATORE,R CLASSIC,R MANTRA,QI,QA,Link,Season,Squadra,Nome,Nazionalità,Data di nascita,Altezza,Peso
BONAZZOLI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sampdoria/BONAZZOLI/505,2019,Sampdoria,Bonazzoli Federico,Italia,21/05/1997,182,79
BAHLOULI,A,A,1,1,//www.fantacalcio.it/squadre/Sampdoria/BAHLOULI/4508,2019,Sampdoria,Bahlouli Mohamed,"Francia, Algeria",17/02/2000,173,
QUAGLIARELLA,A,Pc,34,34,//www.fantacalcio.it/squadre/Sampdoria/QUAGLIARELLA/568,2019,Sampdoria,Quagliarella Fabio,Italia,31/01/1983,180,79
CONSIGLI,P,Por,10,10,//www.fantacalcio.it/squadre/Sassuolo/CONSIGLI/509,2019,Sassuolo,Consigli Andrea,Italia,27/01/1987,189,79
RUSSO A,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/RUSSO-A/4518,2019,Sassuolo,Russo Alessandro,Italia,31/03/2001,193,
PEGOLO,P,Por,1,1,//www.fantacalcio.it/squadre/Sassuolo/PEGOLO/510,2019,Sassuolo,Pegolo Gianluca,Italia,25/03/1981,183,76
GRAVILLON,D,,6,6,//www.fantacalcio.it/squadre/Sassuolo/GRAVILLON/2184,2019,Sassuolo,Gravillon Andrew,"Guadalupa, Francia",08/02/1998,188,
TOLJAN,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/TOLJAN/4426,2019,Sassuolo,Toljan Jeremy,"Germania, Stati Uniti",08/08/1994,182,
GOLDANIGA,D,Dc,4,4,//www.fantacalcio.it/squadre/Sassuolo/GOLDANIGA/418,2019,Sassuolo,Goldaniga Edoardo,Italia,02/11/1993,193,
ROGERIO,D,,7,7,//www.fantacalcio.it/squadre/Sassuolo/ROGERIO/2318,2019,Sassuolo,Rogerio,Brasile,13/01/1998,178,
MULDUR,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/MULDUR/4521,2019,Sassuolo,Muldur Mert,"Turchia, Austria",03/04/1999,188,
FERRARI G,D,Dc,9,9,//www.fantacalcio.it/squadre/Sassuolo/FERRARI-G/1895,2019,Sassuolo,Ferrari Gianmarco,Italia,15/05/1992,189,82
PELUSO,D,,3,3,//www.fantacalcio.it/squadre/Sassuolo/PELUSO/521,2019,Sassuolo,Peluso Federico,Italia,20/01/1984,188,77
MARLON,D,Dc,6,6,//www.fantacalcio.it/squadre/Sassuolo/MARLON/2355,2019,Sassuolo,Marlon,Brasile,07/09/1995,182,
TRIPALDELLI,D,,2,2,//www.fantacalcio.it/squadre/Sassuolo/TRIPALDELLI/4406,2019,Sassuolo,Tripaldelli Alessandro,Italia,09/02/1999,182,
DUNCAN,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/DUNCAN/526,2019,Sassuolo,Duncan Alfred,Ghana,10/03/1993,178,78
OBIANG,C,,10,10,//www.fantacalcio.it/squadre/Sassuolo/OBIANG/4501,2019,Sassuolo,Obiang Pedro,"Guinea Equatoriale, Spagna",27/03/1992,186,
DJURICIC,C,T,5,5,//www.fantacalcio.it/squadre/Sassuolo/DJURICIC/1995,2019,Sassuolo,Djuricic Filip,Serbia,30/01/1992,181,72
MAZZITELLI,C,C,2,2,//www.fantacalcio.it/squadre/Sassuolo/MAZZITELLI/1976,2019,Sassuolo,Mazzitelli Luca,Italia,15/11/1995,184,76
BOURABIA,C,C,6,6,//www.fantacalcio.it/squadre/Sassuolo/BOURABIA/2825,2019,Sassuolo,Bourabia Mehdi,"Marocco, Francia",07/08/1991,183,
MAGNANELLI,C,M,5,5,//www.fantacalcio.it/squadre/Sassuolo/MAGNANELLI/528,2019,Sassuolo,Magnanelli Francesco,Italia,12/11/1984,180,70
LOCATELLI M,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/LOCATELLI-M/827,2019,Sassuolo,Locatelli Manuel,Italia,08/01/1998,185,75
TRAORE' HJ,C,,11,11,//www.fantacalcio.it/squadre/Sassuolo/TRAORE-HJ/2857,2019,Sassuolo,Traorè Hamed Junior,Costa d'Avorio,18/02/2000,184,
BOGA,A,,12,12,//www.fantacalcio.it/squadre/Sassuolo/BOGA/2832,2019,Sassuolo,Boga Jeremie,"Costa d'Avorio, Francia",03/01/1997,174,
RASPADORI,A,Pc,1,1,//www.fantacalcio.it/squadre/Sassuolo/RASPADORI/4371,2019,Sassuolo,Raspadori Giacomo,Italia,18/02/2000,172,
BERARDI,A,A,18,18,//www.fantacalcio.it/squadre/Sassuolo/BERARDI/531,2019,Sassuolo,Berardi Domenico,Italia,01/08/1994,185,72
MATRI,A,Pc,4,4,//www.fantacalcio.it/squadre/Sassuolo/MATRI/380,2019,Sassuolo,Matri Alessandro,Italia,19/08/1984,184,80
CAPUTO,A,Pc,26,26,//www.fantacalcio.it/squadre/Sassuolo/CAPUTO/2819,2019,Sassuolo,Caputo Francesco,Italia,06/08/1987,181,
BABACAR,A,Pc,14,14,//www.fantacalcio.it/squadre/Sassuolo/BABACAR/183,2019,Sassuolo,Babacar Khouma,Senegal,17/03/1993,191,85
BRIGNOLA,A,A,3,3,//www.fantacalcio.it/squadre/Sassuolo/BRIGNOLA/2317,2019,Sassuolo,Brignola Enrico,Italia,08/07/1999,180,
BERISHA E,P,Por,8,8,//www.fantacalcio.it/squadre/SPAL/BERISHA-E/316,2019,Spal,Berisha Etrit,"Albania, Kosovo",10/03/1989,194,82
LETICA,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/LETICA/4520,2019,Spal,Letica Karlo,Croazia,11/02/1997,201,
THIAM D,P,Por,1,1,//www.fantacalcio.it/squadre/SPAL/THIAM-D/4485,2019,Spal,Thiam Demba,Senegal,09/03/1998,202,
FELIPE,D,Dc,6,6,//www.fantacalcio.it/squadre/SPAL/FELIPE/708,2019,Spal,Felipe,"Brasile, Italia",31/07/1984,188,75
VICARI,D,Dc,7,7,//www.fantacalcio.it/squadre/SPAL/VICARI/2261,2019,Spal,Vicari Francesco,Italia,03/08/1994,190,
DICKMANN,D,,3,3,//www.fantacalcio.it/squadre/SPAL/DICKMANN/2787,2019,Spal,Dickmann Lorenzo,Italia,24/09/1996,177,
VAISANEN,D,Dc,1,1,//www.fantacalcio.it/squadre/SPAL/VAISANEN/2212,2019,Spal,Vaisanen Sauli,Finlandia,05/06/1994,188,
CIONEK,D,Dc,7,7,//www.fantacalcio.it/squadre/SPAL/CIONEK/780,2019,Spal,Cionek Thiago,"Polonia, Brasile",21/04/1986,183,
SALAMON,D,Dc,3,3,//www.fantacalcio.it/squadre/SPAL/SALAMON/491,2019,Spal,Salamon Bartosz,Polonia,01/05/1991,196,84
IGOR,D,,7,7,//www.fantacalcio.it/squadre/SPAL/IGOR/4407,2019,Spal,Igor,Brasile,07/02/1998,185,
JANKOVIC,C,,3,3,//www.fantacalcio.it/squadre/SPAL/JANKOVIC/4338,2019,Spal,Jankovic Marko,"Montenegro, Serbia",09/07/1995,172,
STREFEZZA,C,,1,1,//www.fantacalcio.it/squadre/SPAL/STREFEZZA/4486,2019,Spal,Strefezza Gabriel,"Brasile, Italia",18/04/1997,168,
FARES,C,E,7,7,//www.fantacalcio.it/squadre/SPAL/FARES/633,2019,Spal,Fares Mohamed,"Algeria, Francia",15/02/1996,183,75
MURGIA,C,,7,7,//www.fantacalcio.it/squadre/SPAL/MURGIA/2003,2019,Spal,Murgia Alessandro,Italia,09/08/1996,185,
VIVIANI,C,,4,4,//www.fantacalcio.it/squadre/SPAL/VIVIANI/631,2019,Spal,Viviani Federico,Italia,24/03/1992,180,75
DI FRANCESCO F,C,W,11,11,//www.fantacalcio.it/squadre/SPAL/DI-FRANCESCO-F/1857,2019,Spal,Di Francesco Federico,Italia,14/06/1994,178,75
MISSIROLI,C,,6,6,//www.fantacalcio.it/squadre/SPAL/MISSIROLI/529,2019,Spal,Missiroli Simone,Italia,23/05/1986,191,74
VALOTI,C,,6,6,//www.fantacalcio.it/squadre/SPAL/VALOTI/2274,2019,Spal,Valoti Mattia,Italia,06/09/1993,181,
D'ALESSANDRO,C,E,7,7,//www.fantacalcio.it/squadre/SPAL/DALESSANDRO/21,2019,Spal,D'Alessandro Marco,Italia,17/02/1991,173,71
KURTIC,C,,16,16,//www.fantacalcio.it/squadre/SPAL/KURTIC/28,2019,Spal,Kurtic Jasmin,Slovenia,10/01/1989,186,88
VALDIFIORI,C,C,3,3,//www.fantacalcio.it/squadre/SPAL/VALDIFIORI/405,2019,Spal,Valdifiori Mirko,Italia,21/04/1986,185,70
FLOCCARI,A,Pc,7,7,//www.fantacalcio.it/squadre/SPAL/FLOCCARI/533,2019,Spal,Floccari Sergio,Italia,12/11/1981,180,79
PETAGNA,A,Pc,25,25,//www.fantacalcio.it/squadre/SPAL/PETAGNA/383,2019,Spal,Petagna Andrea,Italia,30/06/1995,190,85
PALOSCHI,A,Pc,9,9,//www.fantacalcio.it/squadre/SPAL/PALOSCHI/126,2019,Spal,Paloschi Alberto,Italia,04/01/1990,182,82
MONCINI,A,Pc,5,5,//www.fantacalcio.it/squadre/SPAL/MONCINI/2853,2019,Spal,Moncini Gabriele,Italia,26/04/1996,183,
ROSATI,P,Por,1,1,//www.fantacalcio.it/squadre/Torino/ROSATI/2790,2019,Torino,Rosati Antonio,Italia,26/06/1983,195,
ZACCAGNO,P,Por,1,1,//www.fantacalcio.it/squadre/Torino/ZACCAGNO/2270,2019,Torino,Zaccagno Andrea,Italia,27/05/1997,183,
SIRIGU,P,Por,14,14,//www.fantacalcio.it/squadre/Torino/SIRIGU/2179,2019,Torino,Sirigu Salvatore,Italia,12/01/1987,192,
BONIFAZI,D,Dc,8,8,//www.fantacalcio.it/squadre/Torino/BONIFAZI/2192,2019,Torino,Bonifazi Kevin,Italia,19/05/1996,187,
DJIDJI,D,,7,7,//www.fantacalcio.it/squadre/Torino/DJIDJI/2869,2019,Torino,Djidji Koffi,"Costa d'Avorio, Francia",30/11/1992,184,
N'KOULOU,D,Dc,15,15,//www.fantacalcio.it/squadre/Torino/NKOULOU/2288,2019,Torino,N'Koulou Nicolas,Camerun,27/03/1990,184,
AINA,D,E,8,8,//www.fantacalcio.it/squadre/Torino/AINA/2865,2019,Torino,Aina Ola,"Nigeria, Inghilterra",08/10/1996,182,
DE SILVESTRI,D,,10,10,//www.fantacalcio.it/squadre/Torino/DE-SILVESTRI/487,2019,Torino,De Silvestri Lorenzo,Italia,23/05/1988,186,84
LYANCO,D,Dc,8,8,//www.fantacalcio.it/squadre/Torino/LYANCO/2171,2019,Torino,Lyanco,"Brasile, Serbia",01/02/1997,187,
BUONGIORNO,D,Dc,1,1,//www.fantacalcio.it/squadre/Torino/BUONGIORNO/2724,2019,Torino,Buongiorno Alessandro,Italia,06/06/1999,190,
IZZO,D,,16,16,//www.fantacalcio.it/squadre/Torino/IZZO/226,2019,Torino,Izzo Armando,Italia,02/03/1992,183,78
BREMER,D,Dc,4,4,//www.fantacalcio.it/squadre/Torino/BREMER/2788,2019,Torino,Bremer,Brasile,18/03/1997,188,
GILLI,D,,1,1,//www.fantacalcio.it/squadre/Torino/GILLI/4488,2019,Torino,Gilli Filippo,Italia,19/10/2000,176,
DE ANGELIS,C,,1,1,//www.fantacalcio.it/squadre/Torino/DE-ANGELIS/4490,2019,Torino,De Angelis Nicolò,Italia,31/03/2000,170,
PARIGINI,C,W,2,2,//www.fantacalcio.it/squadre/Torino/PARIGINI/1982,2019,Torino,Parigini Vittorio,Italia,25/03/1996,180,70
BERENGUER,C,W,8,8,//www.fantacalcio.it/squadre/Torino/BERENGUER/2205,2019,Torino,Berenguer Alex,Italia,04/07/1995,175,
MEITE',C,,9,9,//www.fantacalcio.it/squadre/Torino/MEITE/2789,2019,Torino,Meitè Soualiho,"Francia, Costa d'Avorio",17/03/1994,187,
BASELLI,C,,10,10,//www.fantacalcio.it/squadre/Torino/BASELLI/556,2019,Torino,Baselli Daniele,Italia,12/03/1992,182,70
LUKIC,C,C,5,5,//www.fantacalcio.it/squadre/Torino/LUKIC/2009,2019,Torino,Lukic Sasa,Serbia,13/08/1996,183,73
ANSALDI,C,E,13,13,//www.fantacalcio.it/squadre/Torino/ANSALDI/706,2019,Torino,Ansaldi Cristian,"Argentina, Italia",20/09/1986,181,76
GUSTAFSON,C,,3,3,//www.fantacalcio.it/squadre/Torino/GUSTAFSON/2057,2019,Torino,Gustafson Samuel,Svezia,11/01/1995,187,80
RINCON,C,M,8,8,//www.fantacalcio.it/squadre/Torino/RINCON/238,2019,Torino,Rincon Tomas,Venezuela,13/01/1988,175,75
IAGO FALQUE,A,A,21,21,//www.fantacalcio.it/squadre/Torino/IAGO-FALQUE/475,2019,Torino,Iago Falque,Spagna,04/01/1990,174,68
EDERA,A,A,4,4,//www.fantacalcio.it/squadre/Torino/EDERA/1839,2019,Torino,Edera Simone,Italia,09/01/1997,174,
ZAZA,A,Pc,12,12,//www.fantacalcio.it/squadre/Torino/ZAZA/315,2019,Torino,Zaza Simone,Italia,25/06/1991,186,
BELOTTI,A,Pc,30,30,//www.fantacalcio.it/squadre/Torino/BELOTTI/441,2019,Torino,Belotti Andrea,Italia,20/12/1993,185,81
RAUTI,A,Pc,1,1,//www.fantacalcio.it/squadre/Torino/RAUTI/4489,2019,Torino,Rauti Nicola,Italia,17/04/2000,180,
MILLICO,A,A,1,1,//www.fantacalcio.it/squadre/Torino/MILLICO/4346,2019,Torino,Millico Vincenzo,Italia,12/08/2000,174,
MUSSO,P,Por,9,9,//www.fantacalcio.it/squadre/Udinese/MUSSO/2792,2019,Udinese,Musso Juan,"Argentina, Italia",06/05/1994,191,
PERISAN,P,Por,1,1,//www.fantacalcio.it/squadre/Udinese/PERISAN/673,2019,Udinese,Perisan Samuele,Italia,21/08/1997,192,
NICOLAS,P,Por,1,1,//www.fantacalcio.it/squadre/Udinese/NICOLAS/2271,2019,Udinese,Nicolas,"Brasile, Italia",12/04/1988,190,
NUYTINCK,D,Dc,4,4,//www.fantacalcio.it/squadre/Udinese/NUYTINCK/2280,2019,Udinese,Nuytinck Bram,Olanda,04/05/1990,190,
SAMIR,D,,7,7,//www.fantacalcio.it/squadre/Udinese/SAMIR/790,2019,Udinese,Samir,Brasile,05/12/1994,188,70
TROOST-EKONG,D,Dc,5,5,//www.fantacalcio.it/squadre/Udinese/TROOST-EKONG/2870,2019,Udinese,Troost-Ekong William,"Nigeria, Olanda",01/09/1993,191,
DE MAIO,D,Dc,6,6,//www.fantacalcio.it/squadre/Udinese/DE-MAIO/224,2019,Udinese,De Maio Sebastien,Francia,05/03/1987,190,90
RODRIGO BECAO,D,Dc,7,7,//www.fantacalcio.it/squadre/Udinese/RODRIGO-BECAO/4412,2019,Udinese,Rodrigo Becao,Brasile,19/01/1996,191,
TER AVEST,D,,4,4,//www.fantacalcio.it/squadre/Udinese/TER-AVEST/2795,2019,Udinese,ter Avest Hidde,Olanda,20/05/1997,182,
PEZZELLA GIU,D,,5,5,//www.fantacalcio.it/squadre/Udinese/PEZZELLA-GIU/770,2019,Udinese,Pezzella Giuseppe,Italia,29/11/1997,185,
STRYGER LARSEN,D,,7,7,//www.fantacalcio.it/squadre/Udinese/STRYGER-LARSEN/2315,2019,Udinese,Stryger Larsen Jens,Danimarca,21/02/1991,180,
OPOKU,D,Dc,2,2,//www.fantacalcio.it/squadre/Udinese/OPOKU/2793,2019,Udinese,Opoku Nicholas,Ghana,08/11/1997,190,
SIERRALTA,D,,2,2,//www.fantacalcio.it/squadre/Udinese/SIERRALTA/4302,2019,Udinese,Sierralta Francisco,"Cile, Spagna",06/05/1997,192,
DE PAUL,C,,22,22,//www.fantacalcio.it/squadre/Udinese/DE-PAUL/1996,2019,Udinese,De Paul Rodrigo,"Argentina, Italia",24/04/1994,178,78
MANDRAGORA,C,,8,8,//www.fantacalcio.it/squadre/Udinese/MANDRAGORA/1933,2019,Udinese,Mandragora Rolando,Italia,29/06/1997,183,75
WALACE,C,M,7,7,//www.fantacalcio.it/squadre/Udinese/WALACE/2392,2019,Udinese,Walace,Brasile,04/04/1995,188,
COULIBALY,C,C,1,1,//www.fantacalcio.it/squadre/Udinese/COULIBALY/2144,2019,Udinese,Coulibaly Mamadou,Senegal,03/02/1999,183,
JAJALO,C,,4,4,//www.fantacalcio.it/squadre/Udinese/JAJALO/434,2019,Udinese,Jajalo Mato,"Bosnia-Erzegovina, Croazia",25/05/1988,182,77
BARAK,C,T,11,11,//www.fantacalcio.it/squadre/Udinese/BARAK/2172,2019,Udinese,Barak Antonin,Cechia,03/12/1994,190,
INGELSSON,C,,1,1,//www.fantacalcio.it/squadre/Udinese/INGELSSON/2191,2019,Udinese,Ingelsson Svante,Svezia,14/06/1998,189,
BALIC,C,,5,5,//www.fantacalcio.it/squadre/Udinese/BALIC/813,2019,Udinese,Balic Andrija,Croazia,11/08/1997,180,71
FOFANA,C,,11,11,//www.fantacalcio.it/squadre/Udinese/FOFANA/1986,2019,Udinese,Fofana Seko,"Francia, Costa d'Avorio",07/05/1995,183,74
SEMA,C,E,5,5,//www.fantacalcio.it/squadre/Udinese/SEMA/4524,2019,Udinese,Sema Ken,"Svezia, RD del Congo",30/09/1993,180,
NESTOROVSKI,A,Pc,10,10,//www.fantacalcio.it/squadre/Udinese/NESTOROVSKI/1943,2019,Udinese,Nestorovski Ilija,Macedonia del Nord,12/03/1990,182,
MICIN,A,A,1,1,//www.fantacalcio.it/squadre/Udinese/MICIN/2794,2019,Udinese,Micin Petar,Serbia,29/09/1998,189,
TEODORCZYK,A,Pc,8,8,//www.fantacalcio.it/squadre/Udinese/TEODORCZYK/2873,2019,Udinese,Teodorczyk Lukasz,Polonia,03/06/1991,188,
MATOS,A,,3,3,//www.fantacalcio.it/squadre/Udinese/MATOS/92,2019,Udinese,Matos Ryder,"Brasile, Italia",27/02/1993,180,71
PUSSETTO,A,,11,11,//www.fantacalcio.it/squadre/Udinese/PUSSETTO/2826,2019,Udinese,Pussetto Ignacio,Argentina,21/12/1995,180,
LASAGNA,A,Pc,16,16,//www.fantacalcio.it/squadre/Udinese/LASAGNA/90,2019,Udinese,Lasagna Kevin,Italia,10/08/1992,181,80
PERICA,A,Pc,3,3,//www.fantacalcio.it/squadre/Udinese/PERICA/605,2019,Udinese,Perica Stipe,Croazia,07/07/1995,192,76
BORGHETTO,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/BORGHETTO/4410,2019,Verona,Borghetto Nicola,Italia,25/11/1999,188,
BERARDI A,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/BERARDI-A/4491,2019,Verona,Berardi Alessandro,Italia,16/01/1991,185,
SILVESTRI,P,Por,6,6,//www.fantacalcio.it/squadre/Verona/SILVESTRI/2211,2019,Verona,Silvestri Marco,Italia,02/03/1991,191,
RADUNOVIC,P,Por,1,1,//www.fantacalcio.it/squadre/Verona/RADUNOVIC/3,2019,Verona,Radunovic Boris,Serbia,26/05/1996,194,85
CRESCENZI,D,,1,1,//www.fantacalcio.it/squadre/Verona/CRESCENZI/457,2019,Verona,Crescenzi Alessandro,Italia,25/09/1991,178,71
GUNTER,D,Dc,5,5,//www.fantacalcio.it/squadre/Verona/GUNTER/2758,2019,Verona,Gunter Koray,"Germania, Turchia",16/08/1994,185,
VITALE L,D,,4,4,//www.fantacalcio.it/squadre/Verona/VITALE-L/4496,2019,Verona,Vitale Luigi,Italia,05/10/1987,180,
BOCCHETTI,D,,7,7,//www.fantacalcio.it/squadre/Verona/BOCCHETTI/4420,2019,Verona,Bocchetti Salvatore,Italia,30/11/1986,186,
FARAONI,D,,4,4,//www.fantacalcio.it/squadre/Verona/FARAONI/581,2019,Verona,Faraoni Davide,Italia,25/10/1991,180,71
RRAHMANI,D,,4,4,//www.fantacalcio.it/squadre/Verona/RRAHMANI/4409,2019,Verona,Rrahmani Amir,"Kosovo, Albania",24/02/1994,192,
ADJAPONG,D,,3,3,//www.fantacalcio.it/squadre/Verona/ADJAPONG/824,2019,Verona,Adjapong Claud,Ghana,06/05/1998,179,
EMPEREUR,D,,4,4,//www.fantacalcio.it/squadre/Verona/EMPEREUR/4494,2019,Verona,Empereur Alan,"Brasile, Italia",10/03/1994,186,
MARRONE,D,Dc,4,4,//www.fantacalcio.it/squadre/Verona/MARRONE/84,2019,Verona,Marrone Luca,Italia,28/03/1990,186,75
DAWIDOWICZ,D,Dc,5,5,//www.fantacalcio.it/squadre/Verona/DAWIDOWICZ/4493,2019,Verona,Dawidowicz Pawel,Polonia,20/05/1995,191,
KUMBULLA,D,Dc,1,1,//www.fantacalcio.it/squadre/Verona/KUMBULLA/4495,2019,Verona,Kumbulla Marash,"Albania, Italia",08/02/2000,185,
DI GAUDIO,C,W,4,4,//www.fantacalcio.it/squadre/Verona/DI-GAUDIO/81,2019,Verona,Di Gaudio Antonio,Italia,16/08/1989,169,63
ZACCAGNI,C,,9,9,//www.fantacalcio.it/squadre/Verona/ZACCAGNI/632,2019,Verona,Zaccagni Mattia,Italia,16/06/1995,176,
DANZI,C,,2,2,//www.fantacalcio.it/squadre/Verona/DANZI/2726,2019,Verona,Danzi Andrea,Italia,25/02/1999,175,
MIGUEL VELOSO,C,,5,5,//www.fantacalcio.it/squadre/Verona/MIGUEL-VELOSO/2011,2019,Verona,Miguel Veloso,Portogallo,11/05/1986,180,
AMRABAT,C,,4,4,//www.fantacalcio.it/squadre/Verona/AMRABAT/4522,2019,Verona,Amrabat Sofyan,"Marocco, Olanda",21/08/1996,185,
BESSA,C,,9,9,//www.fantacalcio.it/squadre/Verona/BESSA/264,2019,Verona,Bessa Daniel,"Italia, Brasile",14/01/1993,178,68
LUCAS FELIPPE,C,C,1,1,//www.fantacalcio.it/squadre/Verona/LUCAS-FELIPPE/4499,2019,Verona,Lucas Felippe,"Brasile, Spagna",03/05/2000,178,
LAZOVIC,C,,7,7,//www.fantacalcio.it/squadre/Verona/LAZOVIC/236,2019,Verona,Lazovic Darko,Serbia,15/09/1990,181,
VERRE,C,,6,6,//www.fantacalcio.it/squadre/Verona/VERRE/600,2019,Verona,Verre Valerio,Italia,11/01/1994,180,70
BADU,C,,6,6,//www.fantacalcio.it/squadre/Verona/BADU/589,2019,Verona,Badu Emmanuel,Ghana,02/12/1990,173,71
HENDERSON L,C,C,4,4,//www.fantacalcio.it/squadre/Verona/HENDERSON-L/4498,2019,Verona,Henderson Liam,Scozia,25/04/1996,183,
TUTINO,A,A,1,1,//www.fantacalcio.it/squadre/Verona/TUTINO/4507,2019,Verona,Tutino Gennaro,Italia,20/08/1996,177,
RAGUSA,A,A,3,3,//www.fantacalcio.it/squadre/Verona/RAGUSA/2073,2019,Verona,Ragusa Antonino,Italia,27/03/1990,183,78
PAZZINI,A,Pc,10,10,//www.fantacalcio.it/squadre/Verona/PAZZINI/636,2019,Verona,Pazzini Giampaolo,Italia,02/08/1984,180,74
LEE,A,A,5,5,//www.fantacalcio.it/squadre/Verona/LEE/2324,2019,Verona,Lee Seung-Woo,Corea del Sud,06/01/1998,173,
DI CARMINE,A,Pc,13,13,//www.fantacalcio.it/squadre/Verona/DI-CARMINE/4500,2019,Verona,Di Carmine Samuel,Italia,29/09/1988,185,
TUPTA,A,Pc,1,1,//www.fantacalcio.it/squadre/Verona/TUPTA/767,2019,Verona,Tupta Lubomir,Slovacchia,27/03/1998,180,
